Year,All_TTD,All_RTD,All_Age,Hum_TTD,Hum_RTD,Hum_Age,Ed_TTD,Ed_RTD,Ed_Age,Health_TTD,Health_RTD,Health_Age,Other_TTD,Other_RTD,Other_Age,Phys_TTD,Phys_RTD,Phys_Age,Eng_TTD,Eng_RTD,Eng_Age,Life_TTD,Life_RTD,Life_Age,Soc_TTD,Soc_RTD,Soc_Age
1978,9,6.3,31.7,10.2,7.5,32.8,12.9,6.8,36.5,8.8,6.1,31.9,10.9,6.3,34.2,7,5.9,29.3,7.6,5.8,30.2,7.3,5.9,29.9,8.2,6.2,30.8
1979,9.2,6.3,31.9,10.3,7.7,33,12.9,6.9,36.5,9,6.2,32.2,10.9,6.5,34.3,6.9,5.9,29.1,7.6,5.7,30.3,7.3,5.9,29.8,8.5,6.4,31.4
1980,9.3,6.5,32.2,10.7,7.9,33.3,13.2,7.2,37,9.6,6.2,32.8,11.1,6.6,34.5,7,5.9,29.2,7.7,5.7,30.3,7.2,6,29.8,8.7,6.6,31.5
1981,9.5,6.5,32.4,11,8,33.6,13.5,7.2,37.3,10,6.4,32.9,11.1,6.7,34.4,6.9,6,29,8,5.8,30.6,7.2,6,29.8,9,6.7,31.9
1982,9.7,6.7,32.6,11.3,8.3,34,13.7,7.4,37.4,10.3,6.5,33.6,11.7,7,35,7,6,29.3,8,5.9,30.8,7.5,6,30.1,9.2,6.9,32.2
1983,9.9,6.9,32.8,11.2,8.2,34,14.2,7.6,37.8,11,6.7,33.9,12.1,7,35.4,7.2,6.1,29.5,8.1,5.9,30.8,7.7,6.2,30.3,9.5,7,32.5
1984,10,7,33.1,11.6,8.5,34.6,14.8,7.9,38.4,11.1,6.8,34.1,12.3,7.3,35.7,7.3,6.1,29.7,8,5.9,30.7,8,6.4,30.7,9.8,7.2,32.8
1985,10.3,7,33.3,11.9,8.5,34.8,15.2,7.9,38.7,11.9,6.9,35.2,13,7.5,36.2,7.3,6.2,29.8,8.2,6,31,8.2,6.4,31,10,7.3,33.2
1986,10.5,7,33.6,12.2,8.5,35,15.9,8,39.4,12,7.1,35.7,13,7.5,36.1,7.3,6.1,30.1,8.2,6,31,8.3,6.4,31.2,10.1,7.3,33.4
1987,10.5,7,33.7,12.1,8.6,35.1,16.2,8.2,39.9,12.2,7.1,35.7,12.7,7.5,35.7,7.5,6.2,30.1,8.2,6,31.1,8.5,6.6,31.3,10.5,7.4,33.6
1988,10.6,7.1,33.8,12.3,8.7,35.3,17,8.3,40.6,12.9,7.3,36.2,13,7.5,36.3,7.6,6.3,30.3,8.2,6,31.1,8.6,6.6,31.5,10.6,7.6,34.2
1989,10.6,7.1,33.9,12.6,8.7,35.8,17.3,8.5,41.2,13.5,7.3,36.7,13.3,7.8,36.7,7.5,6.3,30.3,8.3,6.1,31.2,8.7,6.6,31.7,10.5,7.6,34
1990,10.6,7.3,33.9,12.2,8.6,35.7,18,8.8,41.7,13.3,7.9,36.6,13.3,8,36.7,7.8,6.5,30.6,8.3,6.3,31.3,8.7,6.9,31.9,10.6,7.9,34.2
1991,10.5,7.2,34,12.3,8.7,35.8,18.5,8.4,42.2,14,7.4,37.6,13.6,7.8,36.8,8,6.5,30.6,8.6,6.3,31.5,8.7,6.8,31.9,10.7,7.7,34.3
1992,10.6,7.3,34.1,12,8.5,35.7,19,8.5,42.7,14.1,7.6,37.7,13.6,7.8,37,8.2,6.7,30.7,8.9,6.4,31.6,9,6.9,32.1,10.7,7.7,34.4
1993,10.7,7.3,34.2,12,8.5,35.7,19.3,8.5,43.1,14,7.9,38.3,13.3,7.8,37.5,8.4,6.7,30.9,9,6.5,31.6,9,7,31.9,10.6,7.7,34.3
1994,10.8,7.3,34.1,12,8.6,35.8,19.7,8.5,43.6,14,7.7,37.8,13.5,7.7,37.3,8.5,6.8,31,9,6.5,31.7,9,6.9,31.9,10.4,7.6,34.1
1995,10.8,7.4,33.9,12,8.6,35.4,19.9,8.5,43.8,14,7.7,38,13.5,7.9,37.7,8.4,6.9,31,9.2,6.5,31.7,9,6.9,31.9,10.5,7.6,34.1
1996,10.8,7.3,33.8,11.8,8.5,35.2,20.3,8.6,44.3,14.5,8,38.5,13.8,7.7,37.9,8.3,6.8,31.1,9,6.5,31.7,9,7,31.9,10.3,7.5,33.7
1997,10.6,7.4,33.7,11.7,8.7,35.3,20,8.6,44.1,14.7,8,38.6,13.7,8,37.3,8.2,6.9,30.9,8.8,6.6,31.4,8.8,7,31.7,10,7.5,33.5
1998,10.4,7.5,33.7,11.6,8.8,35.1,20,8.7,44.3,14.8,8.1,38.5,13.8,8,37.5,8,6.7,30.7,8.8,6.7,31.6,8.6,7,31.7,9.9,7.6,33.2
1999,10.4,7.5,33.7,11.7,9,35.1,19.8,8.5,44.3,13.9,8,37.2,14,8.1,37.5,8,6.8,30.7,8.7,6.7,31.4,8.5,6.9,31.5,9.9,7.6,33.2
2000,10.3,7.5,33.6,11.4,8.9,34.8,19.4,8.3,44.4,14.3,8,38.2,14,8.1,37.8,7.9,6.8,30.7,8.7,6.8,31.4,8.5,7,31.4,9.8,7.6,33
2001,10.1,7.5,33.3,11.5,9,35,19,8.3,43.9,13.3,7.7,37.2,14,8.2,37.9,7.8,6.7,30.6,8.4,6.7,31.2,8.5,7,31.3,9.7,7.6,33
2002,10.2,7.5,33.3,11.5,9,34.7,19.1,8.5,44.2,14.1,8,38,13.4,8,37.2,7.8,6.8,30.5,8.6,6.7,31.4,8.3,7,31.2,10,7.8,33
2003,10.1,7.5,33.3,11.3,9,34.6,18.2,8.3,43.5,13,8,37.2,13.8,8.3,37.5,7.9,6.8,30.6,8.6,6.9,31.4,8.3,6.9,31.2,10,7.8,33.1
